"","PTT.BK","KTC.BK","CPALL.BK","MINT.BK","SCB.BK","KBANK.BK","CPN.BK","AOT.BK"
"2006-11-10",22.6,2.625,3.475,9.00826,69.5,72.5,11.25,6.9
"2006-11-13",22.6,2.7,3.4,9.09091,68,71.5,11.65,6.85
"2006-11-14",22.6,2.7,3.45,8.67769,68,71.5,11.95,6.95
"2006-11-15",22.6,2.725,3.55,9.00826,69,70,11.95,7
"2006-11-16",22.6,2.75,3.525,9.00826,66.5,70.5,12.05,7
"2006-11-17",22.4,2.725,3.6,9.09091,66,70,12.4,7.25
"2006-11-20",21.799999,2.725,3.55,8.92562,64,67.5,12.25,7.35
"2006-11-21",21.6,2.75,3.6,9.17355,63.5,68,12.05,7.15
"2006-11-22",22.200001,2.775,3.55,9.42149,65,68.5,12,6.9
"2006-11-23",22.4,2.775,3.4,9.42149,65,68,11.7,6.9
"2006-11-24",22,2.775,3.375,9.33884,64.5,67.5,11.6,6.85
"2006-11-27",22.4,2.775,3.45,9.50413,68.5,70.5,11.8,6.75
"2006-11-28",22.200001,2.775,3.375,9.33884,68,69,11.75,6.65
"2006-11-29",22.799999,2.825,3.375,9.42149,68.5,70,11.8,6.75
"2006-11-30",23,2.85,3.325,9.58678,70,70.5,11.75,6.5
"2006-12-01",23.4,2.85,3.35,9.83471,70.5,71.5,12.25,6.35
"2006-12-04",23.799999,2.85,3.3,9.91736,70,71,12.35,6.3
"2006-12-05",238,28.5,3.3,9.91736,70,71,12.35,6.3
"2006-12-06",23.799999,2.9,3.275,9.91736,69,72,12.75,6.4
"2006-12-07",23.4,2.9,3.25,10,68.5,72,12.875,6.45
"2006-12-08",23,2.9,3.275,10.2479,68,70.5,12.75,6.45
"2006-12-11",230,29,3.275,10.2479,68,70.5,12.75,6.45
"2006-12-12",22.6,2.9,3.35,10.3306,67.5,70.5,12.63,6.45
"2006-12-13",22.4,2.9,3.325,10.1653,68,72,12.63,6.5
"2006-12-14",22.4,2.925,3.35,10.2479,68,70.5,12.75,6.5
