"","Date","TMBTM","SCBTMFPLUS","KFMTFI","TMBGF","KF-CINCOME","SCBSETFUND","ABG","ABSL","ABSM","JB25","ABWOOF"
"1407","8/7/2556","12.6621","10.2124","13.4484","12.1165","10.1010","15.9197","102.9242","39.6276","38.1038","32.1220","10.5731"
"1460","9/7/2556","12.6629","10.2131","13.4548","12.1134","10.1010","15.8498","102.6213","39.5208","37.7816","32.0535","10.6012"
"70","10/7/2556","12.6637","10.2137","13.4583","12.1581","10.1010","15.7474","102.2535","39.4057","37.2711","32.0927","10.6356"
"119","11/7/2556","12.6645","10.2144","13.4629","12.1317","10.1010","16.4380","105.4073","40.7497","38.2262","33.5343","10.7237"
"169","12/7/2556","12.6655","10.2150","13.4661","12.1697","10.1010","16.5209","105.8167","40.8924","38.4816","33.5255","10.8518"
"300","15/7/2556","12.6679","10.2169","13.4680","12.1820","10.1010","16.5468","105.8298","40.8561","38.6897","33.4485","10.7900"
"350","16/7/2556","12.6687","10.2176","13.4706","12.2194","10.1010","16.5020","105.8924","40.8464","38.6723","33.3610","10.8191"
"400","17/7/2556","12.6695","10.2182","13.4703","12.2546","10.1010","16.5824","105.6099","40.7822","38.5070","33.5559","10.7988"
"451","18/7/2556","12.6702","10.2189","13.4705","12.2980","10.1010","16.9208","107.9947","41.6468","39.4561","34.1885","10.8280"
"502","19/7/2556","12.6710","10.2196","13.4707","12.3018","10.1010","16.8609","107.5237","41.4142","39.4084","33.9834","10.7890"
"747","23/7/2556","12.6741","10.2221","13.4754","12.3022","10.1010","17.2385","109.8595","42.2665","40.3861","34.7250","10.8554"
"795","24/7/2556","12.6748","10.2227","13.4726","12.3521","10.1010","17.0977","108.9947","41.9244","40.1640","34.3441","10.9165"
"846","25/7/2556","12.6756","10.2234","13.4728","12.3119","10.1010","16.5764","106.6609","41.0090","39.5116","33.3054","10.8266"
"898","26/7/2556","12.6764","10.2240","13.4748","12.2834","10.1010","16.8119","107.7685","41.4164","39.7539","33.9173","10.8860"
"1045","29/7/2556","12.6786","10.2259","13.4775","12.2705","10.1010","16.5436","106.4728","40.9096","39.3295","33.3233","10.8742"
"1143","30/7/2556","12.6794","10.2266","13.4753","12.2289","10.1010","16.3303","105.8706","40.7152","39.0814","32.8294","10.8808"
"1170","31/7/2556","12.6802","10.2272","13.4735","12.1670","10.1010","16.1836","104.7685","40.3262","38.4505","32.6773","10.8669"
